"","x"
"386","TCGA-86-7713-01A"
"387","TCGA-86-7714-01A"
"388","TCGA-86-7953-01A"
"389","TCGA-86-7954-01A"
"390","TCGA-86-7955-01A"
"391","TCGA-86-8054-01A"
"392","TCGA-86-8055-01A"
"393","TCGA-86-8056-01A"
"394","TCGA-86-8073-01A"
"395","TCGA-86-8074-01A"
"396","TCGA-86-8075-01A"
"397","TCGA-86-8076-01A"
"398","TCGA-86-8278-01A"
"399","TCGA-86-8279-01A"
"400","TCGA-86-8280-01A"
"401","TCGA-86-8281-01A"
"402","TCGA-86-8358-01A"
"403","TCGA-86-8359-01A"
"404","TCGA-86-8585-01A"
"405","TCGA-86-8668-01A"
"406","TCGA-86-8669-01A"
"407","TCGA-86-8671-01A"
"408","TCGA-86-8672-01A"
"409","TCGA-86-8673-01A"
"410","TCGA-86-8674-01A"
"411","TCGA-86-A456-01A"
"412","TCGA-86-A4D0-01A"
"413","TCGA-86-A4JF-01A"
"414","TCGA-86-A4P7-01A"
"415","TCGA-86-A4P8-01A"
"416","TCGA-91-6828-01A"
"417","TCGA-91-6829-01A"
"418","TCGA-91-6830-01A"
"419","TCGA-91-6831-01A"
"420","TCGA-91-6835-01A"
"421","TCGA-91-6836-01A"
"422","TCGA-91-6840-01A"
"423","TCGA-91-6847-01A"
"424","TCGA-91-6848-01A"
"425","TCGA-91-6849-01A"
"426","TCGA-91-7771-01A"
"427","TCGA-91-8496-01A"
"428","TCGA-91-8497-01A"
"429","TCGA-91-8499-01A"
"430","TCGA-91-A4BC-01A"
"431","TCGA-91-A4BD-01A"
"432","TCGA-93-7347-01A"
"433","TCGA-93-7348-01A"
"434","TCGA-93-8067-01A"
"435","TCGA-93-A4JN-01A"
"436","TCGA-93-A4JO-01A"
"437","TCGA-93-A4JP-01A"
"438","TCGA-93-A4JQ-01A"
"439","TCGA-95-7039-01A"
"440","TCGA-95-7043-01A"
"441","TCGA-95-7562-01A"
"442","TCGA-95-7567-01A"
"443","TCGA-95-7944-01A"
"444","TCGA-95-7947-01A"
"445","TCGA-95-7948-01A"
"446","TCGA-95-8039-01A"
"447","TCGA-95-8494-01A"
"448","TCGA-95-A4VK-01A"
"449","TCGA-95-A4VN-01A"
"450","TCGA-95-A4VP-01A"
"451","TCGA-97-7546-01A"
"452","TCGA-97-7547-01A"
"453","TCGA-97-7552-01A"
"454","TCGA-97-7553-01A"
"455","TCGA-97-7554-01A"
"456","TCGA-97-7937-01A"
"457","TCGA-97-7938-01A"
"458","TCGA-97-7941-01A"
"459","TCGA-97-8171-01A"
"460","TCGA-97-8172-01A"
"461","TCGA-97-8174-01A"
"462","TCGA-97-8175-01A"
"463","TCGA-97-8176-01A"
"464","TCGA-97-8177-01A"
"465","TCGA-97-8179-01A"
"466","TCGA-97-8547-01A"
"467","TCGA-97-8552-01A"
"468","TCGA-97-A4LX-01A"
"469","TCGA-97-A4M0-01A"
"470","TCGA-97-A4M1-01A"
"471","TCGA-97-A4M2-01A"
"472","TCGA-97-A4M3-01A"
"473","TCGA-97-A4M5-01A"
"474","TCGA-97-A4M6-01A"
"475","TCGA-97-A4M7-01A"
"476","TCGA-99-7458-01A"
"477","TCGA-99-8025-01A"
"478","TCGA-99-8028-01A"
"479","TCGA-99-8032-01A"
"480","TCGA-99-8033-01A"
"481","TCGA-99-AA5R-01A"
"482","TCGA-J2-8192-01A"
"483","TCGA-J2-8194-01A"
"484","TCGA-J2-A4AD-01A"
"485","TCGA-J2-A4AE-01A"
"486","TCGA-J2-A4AG-01A"
"487","TCGA-L4-A4E5-01A"
"488","TCGA-L4-A4E6-01A"
"489","TCGA-L9-A443-01A"
"490","TCGA-L9-A444-01A"
"491","TCGA-L9-A50W-01A"
"492","TCGA-L9-A5IP-01A"
"493","TCGA-L9-A743-01A"
"494","TCGA-L9-A7SV-01A"
"495","TCGA-L9-A8F4-01A"
"496","TCGA-MN-A4N1-01A"
"497","TCGA-MN-A4N4-01A"
"498","TCGA-MN-A4N5-01A"
"499","TCGA-MP-A4SV-01A"
"500","TCGA-MP-A4SW-01A"
"501","TCGA-MP-A4SY-01A"
"502","TCGA-MP-A4T4-01A"
"503","TCGA-MP-A4T6-01A"
"504","TCGA-MP-A4T7-01A"
"505","TCGA-MP-A4T8-01A"
"506","TCGA-MP-A4T9-01A"
"507","TCGA-MP-A4TA-01A"
"508","TCGA-MP-A4TC-01A"
"509","TCGA-MP-A4TD-01A"
"510","TCGA-MP-A4TE-01A"
"511","TCGA-MP-A4TF-01A"
"512","TCGA-MP-A4TH-01A"
"513","TCGA-MP-A4TI-01A"
"514","TCGA-MP-A4TJ-01A"
"515","TCGA-MP-A4TK-01A"
"516","TCGA-MP-A5C7-01A"
"517","TCGA-NJ-A4YF-01A"
"518","TCGA-NJ-A4YG-01A"
"519","TCGA-NJ-A4YI-01A"
"520","TCGA-NJ-A4YP-01A"
"521","TCGA-NJ-A4YQ-01A"
"522","TCGA-NJ-A55A-01A"
"523","TCGA-NJ-A55O-01A"
"524","TCGA-NJ-A55R-01A"
"525","TCGA-NJ-A7XG-01A"
"526","TCGA-O1-A52J-01A"
"527","TCGA-S2-AA1A-01A"
