,gene_name,entrez_id
1211,DLD,1738
1212,DLG1,1739
1213,DLG2,1740
1214,DLG3,1741
1215,DLG4,1742
1216,DLST,1743
1217,DLX1,1745
1218,DLX2,1746
1219,DLX3,1747
1220,DLX4,1748
1221,DLX5,1749
1222,DLX6,1750
1223,DMBT1,1755
1224,DMD,1756
1225,SARDH,1757
1226,DMP1,1758
1227,DNM1,1759
1228,DMPK,1760
1229,DMRT1,1761
1230,DMWD,1762
1231,DNA2,1763
1232,DNAH5,1767
1233,DNAH6,1768
1234,DNAH8,1769
1235,DNAH9,1770
1236,DNASE1,1773
1237,DNASE1L1,1774
1238,DNASE1L2,1775
1239,DNASE1L3,1776
1240,DNASE2,1777
1241,DYNC1H1,1778
1242,DYNC1I1,1780
1243,DYNC1I2,1781
1244,DYNC1LI2,1783
1245,DNM2,1785
1246,DNMT1,1786
1247,TRDMT1,1787
1248,DNMT3A,1788
1249,DNMT3B,1789
1250,DNTT,1791
1251,DOCK1,1793
1252,DOCK2,1794
1253,DOCK3,1795
1254,DOK1,1796
1255,DXO,1797
1256,DPAGT1,1798
1257,DPEP1,1800
1258,DPH1,1801
1259,DPH2,1802
1260,DPP4,1803
1261,DPP6,1804
1262,DPT,1805
1263,DPYD,1806
1264,DPYS,1807
1265,DPYSL2,1808
1266,DPYSL3,1809
1267,DR1,1810
1268,SLC26A3,1811
1269,DRD1,1812
1270,DRD2,1813
1271,DRD3,1814
1272,DRD4,1815
1273,DRD5,1816
1274,DRG2,1819
1275,ARID3A,1820
1276,DRP2,1821
1277,ATN1,1822
1278,DSC1,1823
1279,DSC2,1824
1280,DSC3,1825
1281,DSCAM,1826
1282,RCAN1,1827
1283,DSG1,1828
1284,DSG2,1829
1285,DSG3,1830
1286,TSC22D3,1831
1287,DSP,1832
1288,EPYC,1833
1289,DSPP,1834
1290,SLC26A2,1836
1291,DTNA,1837
1292,DTNB,1838
1293,HBEGF,1839
1294,DTX1,1840
1295,DTYMK,1841
1296,ECM2,1842
1297,DUSP1,1843
1298,DUSP2,1844
1299,DUSP3,1845
1300,DUSP4,1846
1301,DUSP5,1847
1302,DUSP6,1848
1303,DUSP7,1849
1304,DUSP8,1850
1305,DUSP9,1852
1306,DUT,1854
1307,DVL1,1855
1308,DVL2,1856
1309,DVL3,1857
1310,DYRK1A,1859
1311,TOR1A,1861
1312,E2F1,1869
1313,E2F2,1870
1314,E2F3,1871
1315,E2F4,1874
1316,E2F5,1875
1317,E2F6,1876
1318,E4F1,1877
1319,EBF1,1879
1320,GPR183,1880
1321,ECE1,1889
1322,TYMP,1890
1323,ECH1,1891
1324,ECHS1,1892
1325,ECM1,1893
1326,ECT2,1894
1327,EDA,1896
1328,S1PR1,1901
1329,LPAR1,1902
1330,S1PR3,1903
1331,EDN1,1906
1332,EDN2,1907
1333,EDN3,1908
1334,EDNRA,1909
1335,EDNRB,1910
1336,PHC1,1911
1337,PHC2,1912
1338,EEF1A1,1915
1339,EEF1A2,1917
1340,EEF1B2,1933
1341,EEF1B2P2,1934
1342,EEF1D,1936
1343,EEF1G,1937
1344,EEF2,1938
1345,EIF2D,1939
1346,EFNA1,1942
1347,EFNA2,1943
1348,EFNA3,1944
1349,EFNA4,1945
1350,EFNA5,1946
